股票代码,公司中文全称,公司英文全称,CSRC行业分类,GICS行业分类,公司注册地
600180,山东九发食用菌股份有限公司,"SHANDONG JIUFA EDIBLE FUNGUS CO.,LTD.",A01,302020,山东省烟台市胜利路201-209号十楼
600181,昆明云大科技产业股份有限公司,"KUNMING YUNDA SCIENCE & TEHNOLOGY INDUSTRY CO.,LTD.",C43,151010,云南省昆明市国家高新技术产业开发区科医路
600182,桦林轮胎股份有限公司,GITI TIRE CORPORATION,C48,251010,黑龙江省牡丹江市桦林镇
600183,广东生益科技股份有限公司,"GUANGDONG SHENGYI SCI?TECH CO.,LTD.",C76,452030,东莞市松山湖科技产业园区北部工业园工业西路5号
600184,湖北新华光信息材料股份有限公司,"Hubei New HuaGuang Information Materials Co.,Ltd.",C6120,201040,湖北省襄樊市长虹北路129号
600185,西安海星现代科技股份有限公司,"XI′AN SEASTAR MODERN-TECH CO.,LTD.",K10,452020,西安市高新技术产业开发区科技二路62 号
600186,河南莲花味精股份有限公司,"HENAN LIANHUA GOUMET POWDER CO.,LTD.",C03,302020,河南省项城市莲花大道18号
600187,黑龙江黑龙股份有限公司,"HEILONGJIANG BLACK DRAGON CO.,LTD.",C31,151050,黑龙江省齐齐哈尔市龙沙区长青路27号
600188,兖州煤业股份有限公司,YANZHOU COAL MINING COMPANY LIMITED,B01,101020,山东省邹城市凫山南路298号
600189,吉林森林工业股份有限公司,"JILIN FOREST INDUSTRY CO.,LTD.",A03,151050,长春高新技术产业开发区
600190,锦州港股份有限公司,"JINZHOU PORT CO.,LTD.",F11,203050,锦州经济技术开发区锦港大街1段1号
600191,包头华资实业股份有限公司,"BAOTOU HUAZI INDUSTRY CO.,LTD",C01,302020,内蒙古自治区包头市国家稀土高新技术产业开发区
600192,兰州长城电工股份有限公司,"LANZHOU CHANGCHENG ELECTRICIAN CO.,LTD.",C76,201040,甘肃省兰州市城关区农民巷125号
600193,厦门创兴科技股份有限公司,"XIAMEN PROSOLAR TECHNOLOGY CO.,LTD",M,404030,厦门市建业路18 号阳明楼九层
600195,中牧实业股份有限公司,"CHINA ANIMAL HUSBANDRY INDUSTRY CO.,LTD",C01,302020,北京市丰台区星火路1号
600196,上海复星实业股份有限公司,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd.",C81,352020,上海市曹杨路510号9楼
