股票代码,年度,股票简称,公司中文全称,公司英文全称,CSRC行业分类,GICS行业分类,公司注册地,证券交易所,中小企业板标示,交易状态
'000024,2003,招商局A,招商局蛇口控股股份有限公司,"China Merchants Property Development Co.,Ltd.",J01,404030,中国广东省深圳南山区蛇口工业区新时代广场9楼,SZ,0,0
'000024,2004,招商地产,招商局地产控股股份有限公司,"China Merchants Property Development Co.,Ltd.",J01,404030,中国广东省深圳南山区蛇口工业区新时代广场9楼,SZ,0,0
'000024,2005,G招商局,招商局地产控股股份有限公司,"China Merchants Property Development Co.,Ltd.",J01,404030,中国广东省深圳南山区蛇口工业区新时代广场9楼,SZ,0,0
'000024,2006,招商地产,招商局地产控股股份有限公司,"China Merchants Property Development Co.,Ltd.",J01,404030,NA,SZ,0,0
'000024,2009,招商地产,招商局地产控股股份有限公司,NA,J01,404030,NA,SZ,0,0
'000024,2011,招商地产,招商局地产控股股份有限公司,NA,J01,404030,NA,SZ,0,0
'000025,2002,ST特力A,深圳市特力(集团)股份有限公司,"SHENZHEN TELLUS (HOLDINGS) CO., LTD.",M,255010,广东省深圳市罗湖区水贝二路56号特力大厦三楼,SZ,0,1
'000025,2003,ST特力A,深圳市特力(集团)股份有限公司,"SHENZHEN TELLUS (HOLDINGS) CO., LTD.",M,255010,广东省深圳市罗湖区水贝二路56号特力大厦三楼,SZ,0,1
'000025,2004,ST特力A,深圳市特力(集团)股份有限公司,"SHENZHEN TELLUS (HOLDINGS) CO., LTD.",M,255010,广东省深圳市罗湖区水贝二路56号特力大厦三楼,SZ,0,1
'000025,2005,GST特力,深圳市特力(集团)股份有限公司,"SHENZHEN TELLUS (HOLDINGS) CO., LTD.",M,255010,广东省深圳市深南中路中核大厦,SZ,0,1
'000025,2006,特力A,深圳市特力(集团)股份有限公司,"SHENZHEN TELLUS (HOLDINGS) CO., LTD.",M,255040,NA,SZ,0,0
'000025,2009,特力A,深圳市特力(集团)股份有限公司,NA,M,255040,NA,SZ,0,0
'000025,2010,特力A,深圳市特力(集团)股份有限公司,NA,H03,255040,NA,SZ,0,0
'000026,2002,飞亚达A,深圳飞亚达(集团)股份有限公司,"SHENZHEN FIYTA HOLDINGS CO.,LTD.",C78,252030,深圳市南山区高新南一道飞亚达科技大厦,SZ,0,0
'000026,2003,飞亚达A,深圳飞亚达(集团)股份有限公司,"SHENZHEN FIYTA HOLDINGS CO.,LTD.",C78,252030,深圳市南山区高新南一道飞亚达科技大厦,SZ,0,0
'000026,2004,飞亚达A,深圳飞亚达(集团)股份有限公司,"SHENZHEN FIYTA HOLDINGS CO.,LTD.",C78,252030,深圳市南山区高新南一道飞亚达科技大厦,SZ,0,0
'000026,2005,飞亚达A,深圳飞亚达(集团)股份有限公司,"SHENZHEN FIYTA HOLDINGS CO.,LTD.",C78,252030,深圳市南山区高新南一道飞亚达科技大厦,SZ,0,0
'000026,2006,S飞亚达A,深圳飞亚达(集团)股份有限公司,"SHENZHEN FIYTA HOLDINGS CO.,LTD.",C78,252030,NA,SZ,0,0
'000026,2007,飞亚达A,深圳飞亚达(集团)股份有限公司,"SHENZHEN FIYTA HOLDINGS CO.,LTD.",C78,252030,NA,SZ,0,0
'000026,2008,飞亚达A,深圳飞亚达(集团)股份有限公司,"SHENZHEN FIYTA HOLDINGS CO.,LTD.",C78,252030,NA,SZ,0,0
'000026,2009,飞亚达A,深圳飞亚达(集团)股份有限公司,NA,C78,252030,NA,SZ,0,0
'000026,2011,飞亚达A,深圳飞亚达(集团)股份有限公司,NA,H11,252030,NA,SZ,0,0
'000027,2002,深能源A,深圳能源投资股份有限公司,"SHENZHEN ENERGY INVESTMENT CO.,LTD.",D01,551010,深圳市福田区深南大道4001号时代金融中心24、25楼,SZ,0,0
'000027,2003,深能源A,深圳能源投资股份有限公司,"SHENZHEN ENERGY INVESTMENT CO.,LTD.",D01,551010,深圳市福田区深南大道4001号时代金融中心24、25楼,SZ,0,0
'000027,2004,深能源A,深圳能源投资股份有限公司,"SHENZHEN ENERGY INVESTMENT CO.,LTD.",D01,551010,深圳市福田区深南大道4001号时代金融中心24、25楼,SZ,0,0
'000027,2005,深能源A,深圳能源投资股份有限公司,"SHENZHEN ENERGY INVESTMENT CO.,LTD.",D01,551010,深圳市福田区深南大道4001号时代金融中心24、25楼,SZ,0,0
